Nume,Calorii,Proteine,Lipide,Carbohidrati
Afine,63.8,0.7,0.6,13.9
Albus de ou,55.8,13.0,0.2,0.5
Alge uscate,29.2,0.5,0.0,6.8
Almond butter GymBeam,629.8,25.4,55.8,6.5
Alune,676.0,16.0,64.0,9.0
Alune in coaja,385.8,8.7,33.8,11.7
Amidon,332.0,0.0,0.0,83.0
Ananas,53.0,0.4,0.2,11.9
Andive,22.8,1.0,0.3,4.7
Arahide,591.0,27.0,47.0,15.0
Ardei gras rosu,38.0,1.3,0.4,7.3
Ardei gras verde,24.6,1.1,0.2,4.6
Avocado,174.3,2.0,14.7,8.5
Bacon,250.0,16.0,20.0,1.5
Banane,64.2,1.3,0.6,13.4
Bere,56.0,0.6,4.0,4.4
Biscuiti,414.3,8.2,9.5,74.0
Bomboane cu ciocolata,557.4,7.0,33.8,56.3
Bomboane fondante,409.1,3.1,9.1,78.7
Bonduelle Spring Mix (frozen),23.0,1.5,0.2,3.8
Branza de burduf,366.0,28.0,28.0,0.5
Branza de capra,301.8,19.0,25.0,0.2
Branza slaba de vaci,94.8,17.0,1.2,4.0
Broccoli,24.0,2.0,0.0,4.0
Bulion de tomate,60.64,3.6,0.0,11.56
Cacao,436.2,23.4,20.2,40.2
Caise,56.9,1.1,0.1,12.9
Caise,296.4,5.2,0.4,68.0
Caju,588.0,18.0,44.0,30.0
Capsune,41.4,0.8,0.6,8.2
Caramele cu lapte,384.0,0.0,0.0,96.0
Carne de curca slaba,174.5,24.5,8.5,0.0
Carne de gaina grasa,161.5,19.0,9.5,0.0
Carne de gaina slaba,125.0,20.0,5.0,0.0
Carne de miel,252.0,18.0,20.0,0.0
Carne de oaie semigrasa,320.0,17.0,28.0,0.0
Carne de oaie slaba,138.5,20.0,6.5,0.0
Carne de porc grasa,375.0,15.0,35.0,0.0
Carne de porc semigrasa,259.5,16.5,21.5,0.0
Carne de porc slaba,138.3,20.4,6.3,0.0
Carne de rata,132.4,19.6,6.0,0.0
Carne de vaca grasa,403.0,22.0,35.0,0.0
Carne de vaca slaba,111.0,21.0,3.0,0.0
Carne de vitel slaba,219.9,18.3,16.3,0.0
Cartofi dulci,87.7,1.6,0.1,20.1
Cartofi noi,78.2,1.7,0.2,17.4
